,countries,cases,todays,deaths,recovered,active
111,Senegal,"40,692",,"1,119","39,384",189
112,Madagascar,"39,012",,722,"36,022","2,268"
113,Zimbabwe,"38,419",,"1,576","36,063",780
114,Maldives,"35,815",,84,"26,299","9,432"
115,Malawi,"34,171",,"1,153","32,159",859
116,Sudan,"33,648",,"2,365","27,247","4,036"
117,Malta,"30,447",,417,"29,805",225
118,DRC,"30,323",,772,"26,434","3,117"
119,Australia,"29,931",+15,910,"28,758",263
120,Angola,"28,740",,633,"24,717","3,390"
121,Cabo Verde,"26,441",,232,"23,037","3,172"
122,Rwanda,"25,652",,338,"24,153","1,161"
123,Gabon,"23,432",,143,"19,944","3,345"
124,Syria,"23,379",,"1,657","18,737","2,985"
125,Guinea,"22,633",,150,"20,231","2,252"
126,Réunion,"21,601",,150,"19,848","1,603"
127,French Guiana,"20,366",,104,"9,995","10,267"
128,Mayotte,"20,134",,170,"2,964","17,000"
129,Cambodia,"19,743",+506,126,"7,820","11,797"
130,French Polynesia,"18,790",,141,"18,617",32
131,Mauritania,"18,667",,456,"17,899",312
132,Eswatini,"18,480",,671,"17,783",26
133,Guadeloupe,"15,360",,210,"2,242","12,908"
134,Somalia,"14,415",,747,"6,191","7,477"
135,Guyana,"14,362",,325,"12,154","1,883"
136,Mali,"14,108",,500,"9,010","4,598"
137,Andorra,"13,423",,127,"12,995",301
138,Burkina Faso,"13,379",,162,"13,156",61
139,Trinidad and Tobago,"13,355",,211,"9,237","3,907"
140,Tajikistan,"13,308",,90,"13,218",0
141,Haiti,"13,164",,263,"12,154",747
142,Togo,"13,154",,124,"11,691","1,339"
143,Belize,"12,686",,323,"12,288",75
144,Curaçao,"12,235",,114,"11,957",164
145,Hong Kong,"11,808",,210,"11,493",105
146,Papua New Guinea,"11,630",,121,"10,312","1,197"
147,Martinique,"11,558",,83,98,"11,377"
148,Djibouti,"11,335",,149,"11,041",145
149,Congo,"11,147",,148,"8,208","2,791"
150,Suriname,"11,112",,215,"9,778","1,119"
151,Lesotho,"10,773",,319,"6,427","4,027"
152,Bahamas,"10,773",,212,"9,781",780
153,Aruba,"10,770",,101,"10,573",96
154,South Sudan,"10,637",,115,"10,312",210
155,Benin,"7,884",,100,"7,652",132
156,Equatorial Guinea,"7,694",,112,"7,279",303
